Date,Open,High,Low,Close,Volume
2023-03-07T16:15:00.000Z,4008.52,4010.93,4007.00,4010.06,19933857
2023-03-07T16:20:00.000Z,4010.32,4011.07,4006.69,4007.73,18360697
2023-03-07T16:25:00.000Z,4007.8,4010.77,4004.59,4005.28,20564662
2023-03-07T16:30:00.000Z,4005.09,4007.56,4004.47,4005.29,18383120
2023-03-07T16:35:00.000Z,4005.35,4009.76,4004.83,4008.10,17552164
2023-03-07T16:40:00.000Z,4008.08,4011.84,4003.54,4011.84,24532056
2023-03-07T16:45:00.000Z,4011.95,4012.90,4009.49,4012.26,18582830
2023-03-07T16:50:00.000Z,4012.27,4014.01,4006.94,4007.01,19880924
2023-03-07T16:55:00.000Z,4007.05,4007.05,4001.91,4003.00,18553239
2023-03-07T17:00:00.000Z,4003.02,4005.34,4002.62,4003.52,17062990
2023-03-07T17:05:00.000Z,4003.53,4004.39,4002.06,4003.89,15644350
2023-03-07T17:10:00.000Z,4003.94,4006.80,4003.11,4003.76,16122729
2023-03-07T17:15:00.000Z,4003.83,4011.35,4003.32,4011.35,21058316
2023-03-07T17:20:00.000Z,4011.39,4023.08,4011.39,4015.53,29562297
2023-03-07T17:25:00.000Z,4015.61,4022.24,4014.81,4014.86,20381996
2023-03-07T17:30:00.000Z,4014.9,4016.10,4013.61,4015.88,15736669
2023-03-07T17:35:00.000Z,4015.73,4016.90,4011.80,4013.84,16759710
2023-03-07T17:40:00.000Z,4013.83,4014.03,4009.58,4011.50,15884569
2023-03-07T17:45:00.000Z,4011.49,4014.95,4011.02,4014.33,17173790
2023-03-07T17:50:00.000Z,4014.31,4015.94,4009.99,4010.07,17821000
2023-03-07T17:55:00.000Z,4010.08,4010.58,4007.13,4007.61,15602000
2023-03-07T18:00:00.000Z,4007.67,4007.90,4002.77,4002.77,20179000
2023-03-07T18:05:00.000Z,4002.77,4003.01,3998.96,4000.29,17176000
2023-03-07T18:10:00.000Z,4000.31,4001.14,3998.77,3999.99,15820000
2023-03-07T18:15:00.000Z,3999.93,4000.90,3999.22,3999.60,14479000
2023-03-07T18:20:00.000Z,3999.65,4000.13,3997.29,3997.61,15461000
2023-03-07T18:25:00.000Z,3997.62,3999.87,3997.07,3999.14,14535000
2023-03-07T18:30:00.000Z,3999.18,4001.96,3997.02,3997.03,16477000
2023-03-07T18:35:00.000Z,3997,3997.96,3994.32,3995.27,17182000
2023-03-07T18:40:00.000Z,3995.24,3995.46,3989.94,3990.20,19498000
2023-03-07T18:45:00.000Z,3990.19,3991.02,3985.89,3986.74,20182000
2023-03-07T18:50:00.000Z,3986.69,3988.79,3986.00,3986.17,18301000
2023-03-07T18:55:00.000Z,3986.18,3989.10,3985.75,3987.87,17751000
2023-03-07T19:00:00.000Z,3987.83,3991.77,3987.47,3988.06,19200000
2023-03-07T19:05:00.000Z,3988.04,3990.72,3987.80,3989.98,14297000
2023-03-07T19:10:00.000Z,3989.94,3992.51,3989.09,3991.51,16178000
2023-03-07T19:15:00.000Z,3991.54,3993.18,3989.40,3991.99,16113000
2023-03-07T19:20:00.000Z,3992.02,3992.47,3986.26,3986.60,18185000
2023-03-07T19:25:00.000Z,3986.72,3988.66,3986.18,3986.77,18438000
2023-03-07T19:30:00.000Z,3986.78,3988.44,3985.23,3985.88,17040000
2023-03-07T19:35:00.000Z,3985.85,3986.48,3984.92,3985.14,15629000
2023-03-07T19:40:00.000Z,3985.1,3986.77,3982.94,3983.40,16964000
2023-03-07T19:45:00.000Z,3983.38,3985.98,3982.97,3983.53,18695000
2023-03-07T19:50:00.000Z,3983.46,3983.47,3981.86,3981.87,16845000
2023-03-07T19:55:00.000Z,3981.87,3981.94,3980.31,3981.29,19575000
2023-03-07T20:00:00.000Z,3981.3,3985.82,3980.92,3983.80,21313000
2023-03-07T20:05:00.000Z,3983.84,3986.52,3983.79,3985.33,18008000
2023-03-07T20:10:00.000Z,3985.33,3989.50,3985.33,3988.01,21746000
2023-03-07T20:15:00.000Z,3987.98,3991.35,3987.98,3991.22,22251000
2023-03-07T20:20:00.000Z,3991.24,3991.24,3988.29,3989.00,21785000
2023-03-07T20:25:00.000Z,3988.98,3988.98,3985.32,3986.29,25102000
2023-03-07T20:30:00.000Z,3986.28,3992.85,3985.96,3991.95,28801000
2023-03-07T20:35:00.000Z,3991.99,3995.66,3991.29,3993.51,31253000
2023-03-07T20:40:00.000Z,3993.46,3995.03,3990.21,3990.22,33031000
2023-03-07T20:45:00.000Z,3990.26,3990.46,3987.03,3988.52,39977000
2023-03-07T20:50:00.000Z,3988.53,3988.71,3985.32,3986.21,72639000
2023-03-07T20:55:00.000Z,3986.2,3988.09,3985.17,3986.71,144397000
2023-03-08T14:30:00.000Z,3987.55,3993.73,3987.07,3987.07,30410162
2023-03-08T14:35:00.000Z,3986.99,3987.91,3984.40,3985.40,33119822
2023-03-08T14:40:00.000Z,3985.36,3987.95,3983.40,3983.54,31845895
2023-03-08T14:45:00.000Z,3983.58,3988.54,3983.37,3986.59,31726360
2023-03-08T14:50:00.000Z,3986.61,3989.16,3986.56,3987.46,26717473
2023-03-08T14:55:00.000Z,3987.53,3992.79,3987.53,3990.71,26981792
2023-03-08T15:00:00.000Z,3990.84,3991.50,3973.28,3985.08,40448894
2023-03-08T15:05:00.000Z,3984.81,3989.15,3981.90,3988.51,27295629
2023-03-08T15:10:00.000Z,3988.38,3994.24,3987.37,3987.76,26683936
2023-03-08T15:15:00.000Z,3987.83,3987.83,3982.06,3982.47,25757820
2023-03-08T15:20:00.000Z,3982.62,3995.36,3978.46,3995.16,31749383
2023-03-08T15:25:00.000Z,3994.55,3995.31,3989.09,3990.52,24127519
2023-03-08T15:30:00.000Z,3990.19,3998.97,3988.08,3998.13,27239657
2023-03-08T15:35:00.000Z,3998.2,3999.90,3994.87,3995.51,23427325
